From	To	mean	median	l95hpd	h95hpd	BAYES_FACTOR	POSTERIOR PROBABILITY
King	Yakima 	0.999832337	0.69540161	9.17E-05	3.001702904	1.878884606	0.385105359
King	east 	0.98236504	0.677307552	6.21E-05	2.934718038	1.836935754	0.379772618
King	west 	0.992055583	0.682562669	3.65E-05	2.994153836	1.847355194	0.381105803
Yakima	east 	0.980580081	0.669857871	1.96E-06	2.95838832	2.198216119	0.422878939
Yakima	west 	0.986347064	0.687574412	2.85E-05	2.959080934	2.254524227	0.429063437
east	west 	0.978538053	0.67296014	4.09E-05	2.968149087	2.304760657	0.434470244
Yakima	King 	0.989286387	0.678362743	0.000145345	2.968106628	3.681154639	0.550975818
east	King 	0.980761562	0.682340139	3.21E-05	2.93471826	4.198240626	0.583231493
west	King 	0.989857495	0.686895566	3.43E-05	2.976396045	4.096093203	0.577232159
east	Yakima 	0.995865761	0.694034389	0.000291295	3.015394881	2.368389662	0.441173203
west	Yakima 	0.99307618	0.686292201	7.92E-06	2.970419678	2.329539474	0.437099582
west	east 	0.981515408	0.672073261	7.47E-05	2.961557936	2.363413665	0.440654742
