From	To	mean	median	l95hpd	h95hpd	BAYES_FACTOR	POSTERIOR PROBABILITY
west2	east1 	0.994854283	0.697322034	2.11E-05	2.971036533	9.242668306	0.397659519
west3	east1 	1.010552392	0.70098499	7.85E-05	3.022258958	8.522609473	0.3784024
west1	east1 	1.004755998	0.696028322	3.48E-05	3.010214132	7.747799574	0.356256712
east3	east1 	1.000988103	0.692109821	6.94E-05	3.029030226	7.13265135	0.337518054
east2	east1 	0.988457009	0.687318045	5.70E-05	2.959143599	6.588280144	0.320001481
west3	east2 	0.989735161	0.685252458	1.99E-05	2.941926169	4.085537961	0.225900826
west2	east2 	0.988659022	0.677360646	8.50E-05	2.982682416	3.998571701	0.222160501
west3	west2 	1.00271805	0.688341813	1.60E-05	3.031950245	3.832169811	0.214902048
west3	east3 	0.998642922	0.693304574	7.78E-05	2.996063882	3.760124025	0.211717217
west2	east3 	0.973681715	0.672435521	1.87E-05	2.94509114	3.698595506	0.20897678
west1	east2 	0.988955948	0.687401748	5.58E-05	2.931029136	3.689485752	0.208569418
west3	west1 	0.995434711	0.694621152	6.35E-06	2.984555039	3.591530945	0.2041625
west2	west3 	0.993488983	0.680202528	0.000187139	2.969746532	3.580895689	0.203681072
west2	west1 	0.978073669	0.670322705	0.000150229	2.945185651	3.515729973	0.200718439
west1	east3 	1.006800969	0.691866643	0.000355651	3.05786158	3.481710983	0.199163056
east2	east3 	1.009845828	0.697175499	7.10E-05	3.020642568	3.390836323	0.194978336
east3	east2 	1.002115577	0.692003269	3.85E-05	3.003753684	3.373253676	0.194163611
west1	west2 	0.985740917	0.677724469	4.06E-05	2.97067927	3.333425034	0.192311965
east2	west2 	1.014690707	0.699658147	0.000171428	3.035641886	3.274023304	0.189534496
east2	west1 	0.986388868	0.691604762	6.45E-05	2.936566803	3.262191781	0.188979002
east3	west2 	1.004137987	0.700291683	2.01E-06	2.996585628	3.242508552	0.188053179
east2	west3 	0.98453781	0.688558103	3.99E-05	2.953020619	3.230720146	0.187497685
west1	west3 	0.987803177	0.678850556	6.85E-05	2.98634633	3.227579293	0.187349554
east3	west1 	1.009878105	0.702662459	2.32E-05	3.017903256	3.22130102	0.18705329
east3	west3 	1.006777114	0.700189695	1.17E-05	3.029299774	3.204842306	0.186275599
east1	east2 	0.992620702	0.685381297	0.00021925	3.007305541	2.46883032	0.149909269
east1	east3 	0.987746509	0.690391059	5.22E-05	2.943200467	2.44304293	0.148576084
east1	west1 	0.973825367	0.665222623	0.000179405	2.945784749	2.373960499	0.144983891
east1	west3 	0.985223074	0.6777905	3.34E-05	2.994542367	2.231945041	0.13750324
east1	west2 	1.01307853	0.708531161	1.95E-05	3.015920383	2.20272587	0.135947858
