From	To	mean	median	l95hpd	h95hpd	BAYES_FACTOR	POSTERIOR PROBABILITY
west	east 	0.985257826	0.679870551	4.03E-05	2.94455127	4.162599469	0.581157649
mp2	east 	0.98768639	0.687984368	4.32E-06	2.962768844	4.155639961	0.580750287
mp1	east 	0.999619219	0.689339431	5.82E-05	2.995219692	3.776160602	0.557271414
mp2	mp1 	0.985879677	0.680150635	2.95E-08	2.953862693	2.383015483	0.442691553
west	mp1 	0.98447502	0.684619034	0.000110235	2.934111754	2.334804083	0.437655075
west	mp2 	0.978400063	0.671094126	7.05E-05	2.96273152	2.326035503	0.436729252
mp2	west 	0.993113635	0.678281143	2.24E-05	2.995578737	2.323235642	0.436432989
mp1	mp2 	0.986147691	0.681345264	3.54E-05	2.932831927	2.23144979	0.426545199
mp1	west 	0.990925212	0.688084785	4.19E-05	2.957447164	2.230774198	0.426471133
east	mp1 	0.990833882	0.679987092	4.95E-07	2.978284892	1.873601251	0.384438766
east	mp2 	0.982214454	0.682158828	5.25E-05	2.940935453	1.859568086	0.382661186
east	west 	0.980686176	0.676424935	8.33E-06	2.961425304	1.798258603	0.374773173
