From,T0,mean,median,l95hpd,h95hpd,BAYES_FACTOR,POSTERIOR PROBABILITY
Adams,Asotin ,0.956958339,0.628952227,0.000780127,2.978803677,1.359404762,0.066770359
Adams,Benton ,0.980067355,0.660554352,0.000538655,3.016851226,1.236540054,0.061104322
Adams,Clark ,0.975231457,0.670357177,3.71E-06,2.935995314,1.272522523,0.062770803
Adams,Cowlitz ,1.059228946,0.744044651,0.000902669,3.200808909,1.305418134,0.064289153
Adams,Franklin ,0.987339663,0.659188783,0.000160075,2.952726845,1.210233987,0.059882235
Adams,Grant ,1.042302878,0.739367691,8.41E-05,3.092439294,1.261314272,0.062252342
Adams,GraysHarbor ,1.030262452,0.723420746,0.000747051,3.055965412,1.316675247,0.064807614
Adams,Jefferson ,1.006728621,0.725942209,0.000237645,2.927131357,1.172092475,0.058104655
Adams,King ,0.985112016,0.691835888,0.001151415,2.843629552,1.340033302,0.065881569
Adams,Kittitas ,1.003895667,0.69411827,0.000255556,3.02963367,1.266916848,0.062511573
Adams,Mason ,1.05233416,0.729831731,0.001793276,3.155096892,1.146744679,0.056919602
Adams,Pierce ,1.011603638,0.697284513,5.45E-05,3.045364591,1.357789064,0.066696293
Adams,Skagit ,1.014562058,0.725260384,1.61E-05,3.004356122,1.178439393,0.058400918
Adams,Snohomish ,0.930851209,0.625703996,4.36E-05,2.829509952,1.334390234,0.065622338
Adams,Spokane ,1.005499702,0.722304536,0.002915055,2.917527722,1.080508806,0.053808836
Adams,Thurston ,1.031593837,0.721728835,0.001183698,3.040093739,1.215808345,0.060141466
Adams,Umatilla ,1.004636045,0.688622109,0.001956512,3.018100656,1.353750942,0.066511128
Adams,Whatcom ,1.001925621,0.691669425,3.37E-05,3.012914276,1.236540054,0.061104322
Adams,Yakima ,1.030578917,0.713291367,0.003089253,3.084830707,1.281337708,0.063178165
Asotin,Benton ,0.971029459,0.658750233,0.000197015,2.921757702,1.410430839,0.069103433
Asotin,Clark ,1.006059421,0.703975571,0.00036106,2.926320077,1.686948107,0.081546495
Asotin,Cowlitz ,0.968069423,0.638173062,0.000447017,3.041815236,1.692788578,0.081805725
Asotin,Franklin ,0.981396879,0.669168916,3.52E-05,2.958222504,1.639512431,0.079435618
Asotin,Grant ,1.064284085,0.779867294,0.000753195,3.041782612,1.638682167,0.079398585
Asotin,GraysHarbor ,1.005223518,0.698603718,0.00208082,2.959905925,1.434005098,0.070177388
Asotin,Jefferson ,0.96297614,0.648892668,0.000164064,2.935704047,1.608009319,0.078028367
Asotin,King ,1.023589705,0.710478089,0.000132298,3.078966808,1.443775901,0.070621783
Asotin,Kittitas ,1.017456854,0.701844223,0.000134551,3.026563892,1.482952731,0.072399363
Asotin,Mason ,1.024638931,0.723133656,0.001953518,3.023312909,1.666116169,0.080620672
Asotin,Pierce ,1.018425249,0.714412064,0.000760632,3.057241733,1.504236272,0.073362219
Asotin,Skagit ,1.013888365,0.691202963,0.002215693,3.030240361,1.650311934,0.079917046
Asotin,Snohomish ,1.003643627,0.664899282,0.000240355,3.089939433,1.598080938,0.077583972
Asotin,Spokane ,0.985824821,0.692626304,0.000511116,3.009868719,1.60387133,0.077843203
Asotin,Thurston ,0.967223166,0.667931074,0.000206856,2.880762772,1.513254168,0.073769581
Asotin,Umatilla ,1.00830401,0.683413848,0.000914788,3.017577401,1.638682167,0.079398585
Asotin,Whatcom ,0.955653699,0.65021504,0.00126937,2.896859483,1.447849827,0.070806947
Asotin,Yakima ,1.037750413,0.726522837,0.000612341,3.083341952,1.231752041,0.060882124
Benton,Clark ,1.014793875,0.72551967,1.04E-05,3.001521914,1.502597506,0.073288153
Benton,Cowlitz ,1.051890045,0.752854583,0.000477012,3.066430545,1.531313778,0.074584305
Benton,Franklin ,1.035590958,0.729694638,0.002509447,3.161685541,1.634531853,0.079213421
Benton,Grant ,0.963378504,0.674318138,9.27E-05,2.820304899,1.578252848,0.076695182
Benton,GraysHarbor ,0.981530877,0.701874524,2.08E-05,2.883671254,1.464161781,0.071547606
Benton,Jefferson ,1.010594737,0.702959184,0.000402495,3.018793121,1.523100924,0.074213976
Benton,King ,0.968419025,0.665072397,0.000573389,2.971385583,1.57660223,0.076621116
Benton,Kittitas ,0.963963021,0.677450411,0.001052421,2.859893681,1.387721041,0.068066511
Benton,Mason ,0.97376298,0.641491418,0.000442797,3.016371337,1.635361783,0.079250454
Benton,Pierce ,1.032693424,0.733863264,0.001514238,3.015760901,1.644495413,0.079657816
Benton,Skagit ,0.99658754,0.713181778,0.000368278,2.990152197,1.498501738,0.073102989
Benton,Snohomish ,0.974064054,0.690754244,0.001007074,2.875094799,1.469877115,0.071806836
Benton,Spokane ,1.01961076,0.738174324,0.000118199,2.968523805,1.423430596,0.06969596
Benton,Thurston ,0.987969937,0.679019236,0.000505425,2.982189059,1.543645391,0.075139799
Benton,Umatilla ,1.0386296,0.729340802,0.000166324,3.082755505,1.703643921,0.082287153
Benton,Whatcom ,0.983919381,0.663580177,0.002063006,3.011849543,1.43807513,0.070362552
Benton,Yakima ,0.970014283,0.640198324,0.000796774,2.934978739,1.714510659,0.082768581
Clark,Cowlitz ,1.073507266,0.769955492,0.001771009,3.110586766,1.500139849,0.073177054
Clark,Franklin ,0.943512665,0.636833577,0.000303042,2.858687907,1.717856566,0.082916713
Clark,Grant ,1.01242888,0.690179308,0.000527752,3.093344422,1.327139461,0.065289042
Clark,GraysHarbor ,1.01476789,0.714419649,0.000371247,3.056538358,1.431563856,0.070066289
Clark,Jefferson ,0.98096132,0.696097284,0.001197863,2.885326861,1.641173157,0.079509684
Clark,King ,0.949240796,0.616832921,0.000504952,2.946219335,1.391772655,0.068251676
Clark,Kittitas ,1.03191926,0.739414503,0.000839595,3.004069642,1.696127471,0.081953857
Clark,Mason ,0.979399567,0.668009198,0.000171614,3.010555863,1.345679502,0.066140799
Clark,Pierce ,1.002678428,0.704550315,0.000412151,2.907932614,1.606353924,0.077954301
Clark,Skagit ,0.983473486,0.685858945,0.000218929,2.905581466,1.633701991,0.079176388
Clark,Snohomish ,1.074450717,0.751211717,0.001068741,3.249369291,1.569177725,0.07628782
Clark,Spokane ,1.008280265,0.703041549,0.000295073,3.037620756,1.34487271,0.066103766
Clark,Thurston ,1.00169713,0.699285632,0.00029513,3.028716654,1.617947275,0.078472762
Clark,Umatilla ,1.046178602,0.727021875,0.000694481,3.218436314,1.539533208,0.074954635
Clark,Whatcom ,1.056290891,0.784564432,0.000606662,2.959961129,1.444590556,0.070658816
Clark,Yakima ,1.058904754,0.741532044,0.002048701,3.211865967,1.593946935,0.077398808
Cowlitz,Franklin ,1.048990912,0.742176432,0.002096048,3.077115842,1.476412835,0.0721031
Cowlitz,Grant ,0.963198422,0.65266237,0.000221911,2.907719394,1.482135015,0.07236233
Cowlitz,GraysHarbor ,1.005178662,0.706096096,0.000789897,2.990440463,1.661954815,0.080435507
Cowlitz,Jefferson ,0.966127472,0.644462064,0.000690102,2.966379328,1.759771789,0.084768359
Cowlitz,King ,0.973974469,0.694667725,0.000572641,2.879961471,1.34890731,0.066288931
Cowlitz,Kittitas ,1.00060329,0.688804767,0.000625266,2.996214597,1.597254005,0.077546939
Cowlitz,Mason ,0.97304855,0.642548663,0.003242968,2.975038152,1.348100262,0.066251898
Cowlitz,Pierce ,1.024123665,0.699772755,0.000425946,3.067942286,1.690285115,0.081694627
Cowlitz,Skagit ,0.998163616,0.694320346,0.000499795,2.98262838,1.661122745,0.080398474
Cowlitz,Snohomish ,1.053984353,0.757139891,0.000360235,3.070100012,1.695292647,0.081916824
Cowlitz,Spokane ,0.977369673,0.687045073,0.000350813,2.913019091,1.712838111,0.082694515
Cowlitz,Thurston ,1.029626684,0.717605981,0.001439027,3.066694751,1.584857968,0.076991445
Cowlitz,Umatilla ,0.998039084,0.687577554,0.00066073,3.093763056,1.416116196,0.069362663
Cowlitz,Whatcom ,1.013719014,0.702197163,0.000486298,3.012508032,1.608009319,0.078028367
Cowlitz,Yakima ,0.953623685,0.650157464,0.000134714,2.934375245,1.386100846,0.067992445
Franklin,Grant ,0.961318903,0.644392319,0.000542398,2.953912374,1.363445128,0.066955523
Franklin,GraysHarbor ,0.954189317,0.668158432,0.000831276,2.875307431,1.641173157,0.079509684
Franklin,Jefferson ,0.913338461,0.597413367,0.000286072,2.893429396,1.626236231,0.078843092
Franklin,King ,1.019459532,0.732971976,0.00033842,2.956067344,1.537066688,0.074843536
Franklin,Kittitas ,0.977001123,0.669783153,0.000807478,2.996754877,1.487860395,0.072621561
Franklin,Mason ,0.980754496,0.676148611,0.000511216,2.99133146,1.508334333,0.073547384
Franklin,Pierce ,1.028483227,0.743090069,0.00368888,2.949492668,1.475595642,0.072066067
Franklin,Skagit ,1.007697726,0.727217161,0.001555104,2.945765118,1.499320761,0.073140021
Franklin,Snohomish ,0.994608144,0.664511865,0.003325711,3.022387291,1.533778916,0.074695404
Franklin,Spokane ,1.013447114,0.720788049,0.00150371,2.920347948,1.569177725,0.07628782
Franklin,Thurston ,1.026005104,0.727686211,0.000284496,3.040295032,1.446220061,0.070732882
Franklin,Umatilla ,0.952827539,0.643228533,0.00012427,2.950976123,1.629553679,0.078991223
Franklin,Whatcom ,1.01443901,0.694359104,0.000127346,3.033372684,1.584857968,0.076991445
Franklin,Yakima ,0.94668364,0.643842602,0.000304207,2.887600999,1.627894821,0.078917157
Grant,GraysHarbor ,1.023151798,0.739444993,8.34E-05,2.946961388,1.662786951,0.08047254
Grant,Jefferson ,1.015026224,0.69955338,0.000147417,3.006440633,1.630383208,0.079028256
Grant,King ,0.997221901,0.68276955,0.000291064,3.005789849,1.79005592,0.086101544
Grant,Kittitas ,0.985376304,0.69166292,0.002214321,2.960488748,1.504236272,0.073362219
Grant,Mason ,0.976481447,0.671216005,0.000173134,2.96835459,1.600562136,0.077695071
Grant,Pierce ,0.96084162,0.640397746,0.000745367,2.960276714,1.632042466,0.079102322
Grant,Skagit ,0.988399718,0.66988544,1.07E-05,3.036936142,1.451110137,0.070955079
Grant,Snohomish ,0.888835299,0.602805901,0.000768717,2.767796209,1.728738233,0.083398141
Grant,Spokane ,1.040483753,0.735377713,0.001109265,3.04102622,1.568353111,0.076250787
Grant,Thurston ,1.039761032,0.751914508,0.003999692,3.020204537,1.617118746,0.078435729
Grant,Umatilla ,1.003851191,0.70071819,0.001710424,3.060864065,1.717856566,0.082916713
Grant,Whatcom ,0.972648802,0.680864716,0.000174223,2.837275547,1.671944881,0.080879902
Grant,Yakima ,0.977782463,0.675951691,0.000987159,2.867206988,1.451110137,0.070955079
