name	county	date	eastwest	cor1	cor2	eastwest-king-yak	clust1	clust2	corew
MT152824_Snohomish_2020-02-24	Snohomish	2/24/20	west	mp2	mp1	west	West	west2	mp2
MT598633_King_2020-02-20	King	2/20/20	west	mp2	mp1	King	mp1	west1	mp2
MT598639_King_2020-02-29	King	2/29/20	west	mp2	mp1	King	mp1	west1	mp2
MT598640_King_2020-02-29	King	2/29/20	west	mp2	mp1	King	mp1	west1	mp2
MT598641_King_2020-02-29	King	2/29/20	west	mp2	mp1	King	mp1	west1	mp2
MT627216_King_2020-02-29	King	2/29/20	west	mp2	mp1	King	mp1	west1	mp2
MT627221_Snohomish_2020-03-03	Snohomish	3/3/20	west	mp2	mp1	west	West	west2	mp2
MT627226_King_2020-02-28	King	2/28/20	west	mp2	mp1	King	mp1	west1	mp2
MT627228_Snohomish_2020-03-02	Snohomish	3/2/20	west	mp2	mp1	west	West	west2	mp2
MT627231_Snohomish_2020-03-02	Snohomish	3/2/20	west	mp2	mp1	west	West	west2	mp2
MT627233_Umatilla_2020-02-29	Umatilla	2/29/20	east	mp3	mp2	east	east	east2	east
MT627235_King_2020-02-28	King	2/28/20	west	mp2	mp1	King	mp1	west1	mp2
MT627241_Snohomish_2020-03-02	Snohomish	3/2/20	west	mp2	mp1	west	West	west2	mp2
MT627243_Umatilla_2020-02-29	Umatilla	2/29/20	east	mp3	mp2	east	east	east2	east
MT627244_Clark_2020-03-01	Clark	3/1/20	west	mp3	mp2	west	West	west3	west
MT627245_King_2020-02-29	King	2/29/20	west	mp2	mp1	King	mp1	west1	mp2
MT627248_King_2020-02-29	King	2/29/20	west	mp2	mp1	King	mp1	west1	mp2
MT627249_Grant_2020-03-02	Grant	3/2/20	east	mp3	mp2	east	east	east2	east
MT627252_King_2020-02-28	King	2/28/20	west	mp2	mp1	King	mp1	west1	mp2
MT627253_King_2020-02-28	King	2/28/20	west	mp2	mp1	King	mp1	west1	mp2
MT627255_Snohomish_2020-03-03	Snohomish	3/3/20	west	mp2	mp1	west	West	west2	mp2
MT627256_Snohomish_2020-03-05	Snohomish	3/5/20	west	mp2	mp1	west	West	west2	mp2
MT627258_Snohomish_2020-02-28	Snohomish	2/28/20	west	mp2	mp1	west	West	west2	mp2
MT627261_King_2020-02-29	King	2/29/20	west	mp2	mp1	King	mp1	west1	mp2
MT627262_Snohomish_2020-03-02	Snohomish	3/2/20	west	mp2	mp1	west	West	west2	mp2
MT627263_King_2020-02-26	King	2/26/20	west	mp2	mp1	King	mp1	west1	mp2
MT627266_Snohomish_2020-03-02	Snohomish	3/2/20	west	mp2	mp1	west	West	west2	mp2
MT627267_Snohomish_2020-02-29	Snohomish	2/29/20	west	mp2	mp1	west	West	west2	mp2
MT627268_Snohomish_2020-03-05	Snohomish	3/5/20	west	mp2	mp1	west	West	west2	mp2
MT627269_King_2020-02-29	King	2/29/20	west	mp2	mp1	King	mp1	west1	mp2
MT627270_King_2020-02-21	King	2/21/20	west	mp2	mp1	King	mp1	west1	mp2
MT627272_Snohomish_2020-03-02	Snohomish	3/2/20	west	mp2	mp1	west	West	west2	mp2
MT627274_King_2020-02-28	King	2/28/20	west	mp2	mp1	King	mp1	west1	mp2
MT627277_King_2020-03-04	King	3/4/20	west	mp2	mp1	King	mp1	west1	mp2
MT627279_Snohomish_2020-02-29	Snohomish	2/29/20	west	mp2	mp1	west	West	west2	mp2
MT627280_Grant_2020-03-02	Grant	3/2/20	east	mp3	mp2	east	east	east2	east
MT627283_Snohomish_2020-03-02	Snohomish	3/2/20	west	mp2	mp1	west	West	west2	mp2
MT627286_Snohomish_2020-02-28	Snohomish	2/28/20	west	mp2	mp1	west	West	west2	mp2
MT627288_King_2020-02-22	King	2/22/20	west	mp2	mp1	King	mp1	west1	mp2
MT627290_King_2020-02-28	King	2/28/20	west	mp2	mp1	King	mp1	west1	mp2
MT627291_Snohomish_2020-03-04	Snohomish	3/4/20	west	mp2	mp1	west	West	west2	mp2
MT627292_King_2020-03-03	King	3/3/20	west	mp2	mp1	King	mp1	west1	mp2
MT627293_King_2020-02-29	King	2/29/20	west	mp2	mp1	King	mp1	west1	mp2
MT627295_King_2020-02-28	King	2/28/20	west	mp2	mp1	King	mp1	west1	mp2
MT627298_Snohomish_2020-03-01	Snohomish	3/1/20	west	mp2	mp1	west	West	west2	mp2
MT627300_Snohomish_2020-03-04	Snohomish	3/4/20	west	mp2	mp1	west	West	west2	mp2
