county week total.cases
AdamsCounty 2020-03-15 3
AsotinCounty 2020-03-15 0
BentonCounty 2020-03-15 21
ChelanCounty 2020-03-15 7
ClallamCounty 2020-03-15 4
ClarkCounty 2020-03-15 35
ColumbiaCounty 2020-03-15 0
CowlitzCounty 2020-03-15 5
DouglasCounty 2020-03-15 2
FerryCounty 2020-03-15 1
FranklinCounty 2020-03-15 7
GarfieldCounty 2020-03-15 0
GrantCounty 2020-03-15 36
GraysHarborCounty 2020-03-15 1
IslandCounty 2020-03-15 25
JeffersonCounty 2020-03-15 8
KingCounty 2020-03-15 813
KitsapCounty 2020-03-15 21
KittitasCounty 2020-03-15 1
KlickitatCounty 2020-03-15 4
LewisCounty 2020-03-15 3
LincolnCounty 2020-03-15 0
MasonCounty 2020-03-15 3
OkanoganCounty 2020-03-15 2
PacificCounty 2020-03-15 0
PendOreilleCounty 2020-03-15 0
PierceCounty 2020-03-15 157
SanJuanCounty 2020-03-15 2
SkagitCounty 2020-03-15 40
SkamaniaCounty 2020-03-15 0
SnohomishCounty 2020-03-15 427
SpokaneCounty 2020-03-15 47
StevensCounty 2020-03-15 2
ThurstonCounty 2020-03-15 14
WahkiakumCounty 2020-03-15 0
WallaWallaCounty 2020-03-15 2
WhatcomCounty 2020-03-15 69
WhitmanCounty 2020-03-15 3
YakimaCounty 2020-03-15 37
AdamsCounty 2020-03-22 13
AsotinCounty 2020-03-22 0
BentonCounty 2020-03-22 107
ChelanCounty 2020-03-22 7
ClallamCounty 2020-03-22 4
ClarkCounty 2020-03-22 90
ColumbiaCounty 2020-03-22 0
CowlitzCounty 2020-03-22 10
DouglasCounty 2020-03-22 4
FerryCounty 2020-03-22 0
FranklinCounty 2020-03-22 31
GarfieldCounty 2020-03-22 0
GrantCounty 2020-03-22 27
GraysHarborCounty 2020-03-22 1
IslandCounty 2020-03-22 81
JeffersonCounty 2020-03-22 8
KingCounty 2020-03-22 1122
KitsapCounty 2020-03-22 44
KittitasCounty 2020-03-22 3
KlickitatCounty 2020-03-22 3
LewisCounty 2020-03-22 6
LincolnCounty 2020-03-22 0
MasonCounty 2020-03-22 3
OkanoganCounty 2020-03-22 2
PacificCounty 2020-03-22 0
PendOreilleCounty 2020-03-22 0
PierceCounty 2020-03-22 246
SanJuanCounty 2020-03-22 2
SkagitCounty 2020-03-22 79
SkamaniaCounty 2020-03-22 1
SnohomishCounty 2020-03-22 478
SpokaneCounty 2020-03-22 94
StevensCounty 2020-03-22 1
ThurstonCounty 2020-03-22 31
WahkiakumCounty 2020-03-22 0
WallaWallaCounty 2020-03-22 5
WhatcomCounty 2020-03-22 59
WhitmanCounty 2020-03-22 5
YakimaCounty 2020-03-22 151
AdamsCounty 2020-03-29 17
AsotinCounty 2020-03-29 4
BentonCounty 2020-03-29 75
ChelanCounty 2020-03-29 17
ClallamCounty 2020-03-29 0
ClarkCounty 2020-03-29 48
ColumbiaCounty 2020-03-29 0
