county X Y
AdamsCounty 2124309.45316214 607716.319707842
AsotinCounty 2475121.43932625 330452.668045849
BentonCounty 1890694.36908091 331892.700244885
ChelanCounty 1611410.62367705 924343.133427911
ClallamCounty 801611.052624489 1031478.15968755
ClarkCounty 1134594.60281937 168921.306351506
ColumbiaCounty 2295609.3596152 362260.453638567
CowlitzCounty 1088274.11250006 321228.560356466
DouglasCounty 1838940.83589453 877160.624953196
FerryCounty 2121760.61213697 1149608.02084528
FranklinCounty 2043225.74454794 442195.261317437
GarfieldCounty 2385310.17342022 414268.077059123
GrantCounty 1900547.16588442 684059.147640592
GraysHarborCounty 812613.755436833 677768.507059988
IslandCounty 1133939.39007589 1038578.02089554
JeffersonCounty 884181.660400475 906148.753139775
KingCounty 1310138.55198397 789600.381158697
KitsapCounty 1110579.36543081 848292.563074744
KittitasCounty 1596116.34703746 653125.935570787
KlickitatCounty 1566677.75818181 197511.264984129
LewisCounty 1164603.52292755 459931.01627773
LincolnCounty 2154153.67106981 824679.053549808
MasonCounty 975422.346457517 746852.176781047
OkanoganCounty 1824577.78437745 1173690.95264784
PacificCounty 815686.970739665 461225.051986105
PendOreilleCounty 2422302.25338071 1182382.36857112
PierceCounty 1232480.34108614 625804.566223108
SanJuanCounty 1040048.72449999 1187637.38354878
SkagitCounty 1324407.24508938 1151486.11350724
SkamaniaCounty 1280878.60439133 254382.888714237
SnohomishCounty 1341347.30976523 991758.590058383
SpokaneCounty 2403753.27081595 848912.77422911
StevensCounty 2283076.01967135 1128268.30040051
ThurstonCounty 1057931.70830311 590671.247302842
WahkiakumCounty 899145.989328928 363108.334029921
WallaWallaCounty 2151934.62477586 333393.898681847
WhatcomCounty 1309638.33178469 1278884.56988121
WhitmanCounty 2384390.75217581 585653.432356106
YakimaCounty 1580484.99809095 409696.788195039
