place,data
Adams County, WA,19983
Asotin County, WA,22582
Benton County, WA,204390
Chelan County, WA,77200
Clallam County, WA,77331
Clark County, WA,488241
Columbia County, WA,3992
Cowlitz County, WA,110593
Douglas County, WA,43429
Ferry County, WA,7578
Franklin County, WA,95222
Garfield County, WA,2230
Grant County, WA,97733
Grays Harbor County, WA,75061
Island County, WA,85141
Jefferson County, WA,31285
King County, WA,2252782
Kitsap County, WA,271473
Kittitas County, WA,47935
Klickitat County, WA,21721
Lewis County, WA,80707
Lincoln County, WA,10574
Mason County, WA,66768
Okanogan County, WA,41842
Pacific County, WA,21688
Pend Oreille County, WA,13377
Pierce County, WA,904980
San Juan County, WA,16788
Skagit County, WA,129205
Skamania County, WA,12083
Snohomish County, WA,822083
Spokane County, WA,522798
Stevens County, WA,45723
Thurston County, WA,290536
Wahkiakum County, WA,4268
Walla Walla County, WA,60760
Whatcom County, WA,229247
Whitman County, WA,50104
Yakima County, WA,250873
