"","Adams","Asotin","Benton","Chelan","Clallam","Clark","Columbia","Cowlitz","Douglas","Ferry","Franklin","Garfield","Grant","Grays Harbor","Island","Jefferson","King","Kitsap","Kittitas","Klickitat","Lewis","Lincoln","Mason","Okanogan","Pacific","Pend Oreille","Pierce","San Juan","Skagit","Skamania","Snohomish","Spokane","Stevens","Thurston","Wahkiakum","Walla Walla","Whatcom","Whitman","Yakima"
"Adams",1,0.222624177794498,0.555928334040809,0.264855242897391,0.168751821004633,0.809469816541326,0.0668903750775102,0.108716349087049,0.247400974988937,0.0836781164418774,0.587494706057358,0.10146240316855,0.218800098275314,0.135632194080987,0.102648587091486,0.284312614425942,0.29867356385542,0.0424217083027076,-0.00920989363479303,-0.159514248803089,0.0298019212977856,0.0806069236577555,0.0340595549909941,0.0474253069794651,0.322033267282386,-0.0310708009573529,0.23938251042005,0.225278049434774,0.227045416910512,0.275909097027907,0.180468425821095,0.755133794737145,0.0874693217188154,0.40950568352142,0.0400706184323136,0.283906687396946,0.0463213488101392,-0.00557314905296494,0.47200898538993
"Asotin",0.222624177794498,1,0.102801630570654,0.0468141175421526,0.134805645821865,0.242051528225156,-0.164418818679996,0.0916878744224537,0.163681060081359,0.049583325551077,0.0996070644973692,-0.193079194331602,0.116575514949977,0.0879420668123461,0.273241408651858,0.138785362896919,0.195125840561638,0.245739897140711,-0.0405425685625637,0.461960561439526,-0.196591658721521,0.0842894775196816,0.011135482385081,-0.130638984232728,0.0509622218692241,0.029742478685383,0.0745132785181501,0.313921702428854,-0.197766904920894,0.0942397463690624,0.116317331623915,0.0598543269406137,0.240109456308401,-0.132496033661927,0.113024682082024,-0.025673152809327,-0.0390519541767096,-0.110831429515777,0.157884935108687
"Benton",0.555928334040809,0.102801630570654,1,0.458881675253552,0.523396696427019,0.789959215129931,-0.0872961139774811,0.198847997152465,0.124597844087094,-0.146345038250506,0.857500403734999,0.0886199961424955,0.253641773834484,-0.0427153007462,0.175618962126645,0.0237712685862523,0.478688873541394,0.254168977432401,-0.0355303738707796,0.0320502373574032,0.177985751581636,-0.105880152268499,0.118908530225062,0.11648951912654,0.134373206568924,0.149970570693052,0.74641934486425,0.0601706718805207,0.251011016287094,0.326343589385907,0.450007163312004,0.71452306659736,0.160910407374514,0.298708496604598,-0.00274009223775434,0.497227912773382,0.651564237408346,0.0780991210290771,0.916885226986603
"Chelan",0.264855242897391,0.0468141175421526,0.458881675253552,1,0.484419443283029,0.624580070624974,-0.0958330774180026,0.0116396735409715,0.366871323821186,0.382616968459162,0.356877444123446,-0.0965507862098223,0.179893032460762,0.300224513672304,0.111998750745515,0.254730077887475,0.598200423383473,0.103967216070542,0.081290772649577,0.0938661781691803,0.218499364416004,-0.00524601403735033,0.417705197319965,0.0914734173674503,0.317992455830768,0.282495958501466,0.685272192453929,0.268115539872655,0.0100631141093398,0.322370945259563,0.522652404255655,0.580477592236603,0.235476382936762,0.0518717496909692,-0.137459009549704,0.12998849324568,0.584092840541949,-0.0848261140371176,0.46005576356411
"Clallam",0.168751821004633,0.134805645821865,0.523396696427019,0.484419443283029,1,0.545843555315546,0.173836504015665,0.343123840779063,0.00074645731233834,0.157342742010724,0.375549351163846,0.215691321633836,0.287718244477583,0.131124940876858,0.05941865935086,0.118659160769073,0.453124572972196,0.0682617461876615,-0.175924330859905,0.0347986831758257,0.259012291104693,0.133978633573381,0.0886155544369318,0.0906771545182693,0.0412945147157512,0.126089411627614,0.551020587835875,0.0531621394971451,0.0172731466769231,0.399112149758158,0.508922922816482,0.593069883489029,0.369540461276508,-0.017809136377815,-0.0114155725409205,0.360907542972976,0.443923766937016,-0.0692195016039216,0.438934928224824
"Clark",0.809469816541326,0.242051528225156,0.789959215129931,0.624580070624974,0.545843555315546,1,-0.187764740437347,0.117310386118843,0.456352408728693,0.173396619863586,0.666815362772336,-0.00926760449282515,0.628371701308144,-0.0844239664169725,0.133486815895699,0.521660643465544,0.702925405387086,0.485954966410994,0.00313039451733636,-0.00232223316007425,0.175007103946908,-0.0903766998598349,0.0363522056086611,-0.0939548007490042,0.400873657983131,0.300257565901102,0.822271790392863,0.166927668987534,0.572271800723497,0.275639833259083,0.700555208531567,0.914492683291442,0.215608255555572,0.311684368207739,0.0165186044473027,0.311550577748115,0.807340383144472,-0.0553472829253273,0.725188195383508
"Columbia",0.0668903750775102,-0.164418818679996,-0.0872961139774811,-0.0958330774180026,0.173836504015665,-0.187764740437347,1,0.116899474109032,-0.133215977705928,0.307728026087711,-0.0355024381541943,0.0543624782203805,0.0174898897227435,0.22536225901097,-0.0835731441895217,-0.231060960436094,0.0913050529618394,0.0263593495977244,-0.0327945908242681,-0.218992782557374,-0.0540469716812847,-0.00453358763739913,0.170855466372024,0.407402581909801,-0.107425035638236,-0.0910980413268799,-0.0341157961002224,-0.142415418996835,-0.0917216681144603,0.061529589599718,0.0229847533896294,-0.0782851038760372,0.496147432785475,-0.111431280022291,0.427174768341559,0.249704335184583,-0.13008358792537,0.0728598832177536,0.00199267332878928
"Cowlitz",0.108716349087049,0.0916878744224537,0.198847997152465,0.0116396735409715,0.343123840779063,0.117310386118843,0.116899474109032,1,-0.0848724656616641,0.265540992340993,0.140117237793502,0.188525228073119,-0.00958511741785767,-0.136517779056942,-0.15515262898571,-0.203997014356304,-0.00375801656713257,0.810559406014277,-0.117466223656248,-0.00769005099028248,-0.0986497754120201,-0.164602570678577,0.157433073902571,-0.0554141260578313,0.155780576926119,0.0455175510892126,0.124680719899515,0.135848833550929,0.00252773613720404,0.308279911807568,0.122790834141459,0.223487449948984,0.539108457015058,-0.0369494722254632,0.251963486087516,0.138073583268702,0.0267864855560338,0.395331685344779,0.151553284875017
"Douglas",0.247400974988937,0.163681060081359,0.124597844087094,0.366871323821186,0.00074645731233834,0.456352408728693,-0.133215977705928,-0.0848724656616641,1,0.326932941481228,0.247713345877936,-0.0254206698376545,0.0946657270166855,-0.0278367600393239,0.155033206631067,0.347228234379823,0.357091727365515,0.0749025460700089,0.381744923489552,0.198371197562437,0.0381820235285583,-0.00741186171909536,0.203755734351577,0.0340969506664718,0.547151713645573,0.280297966994662,0.372406701716498,0.129027752267974,0.0684781450395212,0.0126139898797845,0.379170328187628,0.26775844545445,0.0489826941884143,0.196169209579497,-0.133323152530595,0.101354288505617,0.0732875461901537,-0.0385933982820411,0.21172304099021
"Ferry",0.0836781164418774,0.049583325551077,-0.146345038250506,0.382616968459162,0.157342742010724,0.173396619863586,0.307728026087711,0.265540992340993,0.326932941481228,1,-0.0232201005091266,0.120964897803877,0.32343793265145,0.333107928758493,-0.205659640078773,-0.0758888088562114,0.142076993662072,0.056523849244379,0.200495616120384,-0.196133675518652,0.359357283913496,0.0807134611427703,0.197739256633145,0.105164292920076,0.466942833634962,0.00453127422238229,0.270819540928595,0.00188415363471858,0.282791971062186,0.448845894030071,0.319276069844977,0.171673013349579,0.540694310235894,0.11848783533675,0.0586796454278845,0.0465992793647872,0.248822497944982,0.166889287777009,-0.0241426410821365
