"","Adams","Asotin","Benton","Chelan","Clallam","Clark","Columbia","Cowlitz","Douglas","Ferry","Franklin","Garfield","Grant","Grays Harbor","Island","Jefferson","King","Kitsap","Kittitas","Klickitat","Lewis","Lincoln","Mason","Okanogan","Pacific","Pend Oreille","Pierce","San Juan","Skagit","Skamania","Snohomish","Spokane","Stevens","Thurston","Wahkiakum","Walla Walla","Whatcom","Whitman","Yakima"
"Adams",0,0,0,0,0,0,0,0,0,0,0.587494706057358,0,0.218800098275314,0,0,0,0,0,0,0,0,0.0806069236577555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00557314905296494,0
"Asotin",0,0,0,0,0,0,0,0,0,0,0,-0.193079194331602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110831429515777,0
"Benton",0,0,0,0,0,0,0,0,0,0,0.857500403734999,0,0.253641773834484,0,0,0,0,0,0,0.0320502373574032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497227912773382,0,0,0.916885226986603
"Chelan",0,0,0,0,0,0,0,0,0.366871323821186,0,0,0,0,0,0,0,0.598200423383473,0,0.081290772649577,0,0,0,0,0.0914734173674503,0,0,0,0,0.0100631141093398,0,0.522652404255655,0,0,0,0,0,0,0,0
"Clallam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118659160769073,0,0,0,0,0,0,0,0,0,0,0,0.0531621394971451,0,0,0,0,0,0,0,0,0,0,0
"Clark",0,0,0,0,0,0,0,0.117310386118843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275639833259083,0,0,0,0,0,0,0,0,0
"Columbia",0,0,0,0,0,0,0,0,0,0,-0.0355024381541943,0.0543624782203805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249704335184583,0,0.0728598832177536,0
"Cowlitz",0,0,0,0,0,0.117310386118843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0986497754120201,0,0,0,0,0,0,0,0,0.308279911807568,0,0,0,0,0.251963486087516,0,0,0,0
"Douglas",0,0,0,0.366871323821186,0,0,0,0,0,0,0,0,0.0946657270166855,0,0,0,0,0,0.381744923489552,0,0,0,0,0.0340969506664718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0807134611427703,0,0.105164292920076,0,0,0,0,0,0,0,0,0.540694310235894,0,0,0,0,0,0
"Franklin",0.587494706057358,0,0.857500403734999,0,0,0,-0.0355024381541943,0,0,0,0,0,0.244946999048822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447691402474401,0,-0.00932148016734063,0
"Garfield",0,-0.193079194331602,0,0,0,0,0.0543624782203805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0989319341877881,0
"Grant",0.218800098275314,0,0.253641773834484,0,0,0,0,0,0.0946657270166855,0,0.244946999048822,0,0,0,0,0,0,0,-0.12030250383543,0,0,0.0100138793017342,0,-0.110513370569426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206897531700584
"Grays Harbor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020799571448955,0,0,0,0,0.0623482894496032,0,0.352401230190571,0,0.0883248087608483,0,0,0,0,0,0,0,0,0.0892880992420642,0,0,0,0,0
"Island",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257310532944668,0,-0.0646588866517396,0,0,0,0,0,0,0,0,0,0.33806862676287,0.0625229290793707,0,0.245784252840289,0,0,0,0,0,0,0,0
"Jefferson",0,0,0,0,0.118659160769073,0,0,0,0,0,0,0,0,0.020799571448955,0.257310532944668,0,0,0.440062959678926,0,0,0,0,0.23270490924413,0,0,0,0,0.364102205298928,0,0,0,0,0,0,0,0,0,0,0
"King",0,0,0,0.598200423383473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623129801034753,0.0703084434380263,0,0,0,0,0,0,0,0.950146606152369,0,0,0,0.892068286671266,0,0,0,0,0,0,0,0.454509174371866
"Kitsap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0646588866517396,0.440062959678926,0.623129801034753,0,0,0,0,0,0.381984887247232,0,0,0,0.563372242151672,0,0,0,0.645572930798444,0,0,0,0,0,0,0,0
"Kittitas",0,0,0,0.081290772649577,0,0,0,0,0.381744923489552,0,0,0,-0.12030250383543,0,0,0,0.0703084434380263,0,0,0,0,0,0,0,0,0,0.0845081973724327,0,0,0,0,0,0,0,0,0,0,0,0.0748326435806299
"Klickitat",0,0,0.0320502373574032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115772150610737,0,0,0,0,0,0,0,0,0.0305839529220447
"Lewis",0,0,0,0,0,0,0,-0.0986497754120201,0,0,0,0,0,0.0623482894496032,0,0,0,0,0,0,0,0,0,0,-0.052605632576689,0,0.334451323927323,0,0,0.289210844480844,0,0,0,0.0062593527694124,0.153977159029106,0,0,0,0.107464104696014
"Lincoln",0.0806069236577555,0,0,0,0,0,0,0,0,0.0807134611427703,0,0,0.0100138793017342,0,0,0,0,0,0,0,0,0,0,0.168420943553251,0,0,0,0,0,0,0,-0.014819257175145,-0.0604105875414526,0,0,0,0,-0.13734670379954,0
"Mason",0,0,0,0,0,0,0,0,0,0,0,0,0,0.352401230190571,0,0.23270490924413,0,0.381984887247232,0,0,0,0,0,0,0,0,0.484687721408145,0,0,0,0,0,0,0.0698941813599414,0,0,0,0,0
"Okanogan",0,0,0,0.0914734173674503,0,0,0,0,0.0340969506664718,0.105164292920076,0,0,-0.110513370569426,0,0,0,0,0,0,0,0,0.168420943553251,0,0,0,0,0,0,0.0122714742477918,0,0,0,0,0,0,0,-0.0698480989890046,0,0
"Pacific",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0883248087608483,0,0,0,0,0,0,-0.052605632576689,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0742858745135115,0,0,0,0
"Pend Oreille",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227001159740689,0.0880089608793364,0,0,0,0,0,0
"Pierce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950146606152369,0.563372242151672,0.0845081973724327,0,0.334451323927323,0,0.484687721408145,0,0,0,0,0,0,0,0,0,0,0.41390693836137,0,0,0,0,0.723692734463252
"San Juan",0,0,0,0,0.0531621394971451,0,0,0,0,0,0,0,0,0,0.33806862676287,0.364102205298928,0,0,0,0,0,0,0,0,0,0,0,0,0.262981123532802,0,0,0,0,0,0,0,0.567615859447881,0,0
"Skagit",0,0,0,0.0100631141093398,0,0,0,0,0,0,0,0,0,0,0.0625229290793707,0,0,0,0,0,0,0,0,0.0122714742477918,0,0,0,0.262981123532802,0,0,0.677744677848109,0,0,0,0,0,0.655951735025451,0,0
"Skamania",0,0,0,0,0,0.275639833259083,0,0.308279911807568,0,0,0,0,0,0,0,0,0,0,0,-0.115772150610737,0.289210844480844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482265356132996
"Snohomish",0,0,0,0.522652404255655,0,0,0,0,0,0,0,0,0,0,0.245784252840289,0,0.892068286671266,0.645572930798444,0,0,0,0,0,0,0,0,0,0,0.677744677848109,0,0,0,0,0,0,0,0,0,0
"Spokane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014819257175145,0,0,0,0.227001159740689,0,0,0,0,0,0,0.19016094286164,0,0,0,0,0.0118906183171337,0
"Stevens",0,0,0,0,0,0,0,0,0,0.540694310235894,0,0,0,0,0,0,0,0,0,0,0,-0.0604105875414526,0,0,0,0.0880089608793364,0,0,0,0,0,0.19016094286164,0,0,0,0,0,0,0
"Thurston",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892880992420642,0,0,0,0,0,0,0.0062593527694124,0,0.0698941813599414,0,0,0,0.41390693836137,0,0,0,0,0,0,0,0,0,0,0,0
"Wahkiakum",0,0,0,0,0,0,0,0.251963486087516,0,0,0,0,0,0,0,0,0,0,0,0,0.153977159029106,0,0,0,-0.0742858745135115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Walla Walla",0,0,0.497227912773382,0,0,0,0.249704335184583,0,0,0,0.447691402474401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Whatcom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0698480989890046,0,0,0,0.567615859447881,0.655951735025451,0,0,0,0,0,0,0,0,0,0
"Whitman",-0.00557314905296494,-0.110831429515777,0,0,0,0,0.0728598832177536,0,0,0,-0.00932148016734063,0.0989319341877881,0,0,0,0,0,0,0,0,0,-0.13734670379954,0,0,0,0,0,0,0,0,0,0.0118906183171337,0,0,0,0,0,0,0
"Yakima",0,0,0.916885226986603,0,0,0,0,0,0,0,0,0,0.206897531700584,0,0,0,0.454509174371866,0,0.0748326435806299,0.0305839529220447,0.107464104696014,0,0,0,0,0,0.723692734463252,0,0,0.482265356132996,0,0,0,0,0,0,0,0,0
