"","county","Adams","Asotin","Benton","Chelan","Clallam","Clark","Columbia","Cowlitz","Douglas","Ferry","Franklin","Garfield","Grant","GraysHarbor","Island","Jefferson","King","Kitsap","Kittitas","Klickitat","Lewis","Lincoln","Mason","Okanogan","Pacific","PendOreille","Pierce","SanJuan","Skagit","Skamania","Snohomish","Spokane","Stevens","Thurston","Wahkiakum","WallaWalla","Whatcom","Whitman","Yakima"
"1","Adams",62,33,34,28,0,0,40,0,34,27,53,35,51,0,0,0,0,0,26,7,0,51,0,23,0,19,0,0,1,1,1,46,22,0,0,41,1,48,26
"2","Asotin",33,34,20,13,0,0,34,0,16,14,31,34,27,0,0,0,0,0,13,5,0,28,0,7,0,12,0,0,1,1,1,33,15,0,0,30,1,34,14
"3","Benton",34,20,55,21,0,3,28,3,24,13,45,23,36,0,0,0,0,0,30,21,3,29,0,12,0,6,3,0,1,9,1,25,9,3,0,41,1,28,45
"4","Chelan",28,13,21,55,0,0,18,0,49,22,26,15,34,0,0,0,5,0,38,4,0,29,0,24,0,11,1,0,4,1,5,21,14,0,0,20,4,23,23
"5","Clallam",0,0,0,0,69,8,0,10,0,0,0,0,0,43,55,66,9,64,0,0,12,0,47,0,15,0,10,51,29,8,11,0,0,36,15,0,24,0,0
"6","Clark",0,0,3,0,8,39,0,34,0,0,3,0,3,17,0,8,0,8,3,13,34,0,16,0,19,0,15,0,0,32,0,0,0,22,19,3,0,0,6
"7","Columbia",40,34,28,18,0,0,44,0,21,19,39,39,34,0,0,0,0,0,18,6,0,33,0,12,0,12,0,0,1,1,1,38,15,0,0,38,1,41,20
"8","Cowlitz",0,0,3,0,10,34,0,60,0,0,3,0,3,22,2,10,0,10,3,13,54,0,21,0,36,0,18,0,0,30,0,0,0,42,37,3,0,0,6
"9","Douglas",34,16,24,49,0,0,21,0,58,26,29,18,40,0,0,0,4,0,37,5,0,35,0,27,0,14,1,0,4,1,5,27,17,0,0,23,4,26,22
"10","Ferry",27,14,13,22,0,0,19,0,26,39,19,16,25,0,0,0,0,0,17,2,0,30,0,26,0,27,0,0,2,1,2,28,30,0,0,15,2,25,12
"11","Franklin",53,31,45,26,0,3,39,3,29,19,66,34,49,0,0,0,0,0,29,11,3,42,0,17,0,11,3,0,1,4,1,37,14,3,0,51,1,43,35
"12","Garfield",35,34,23,15,0,0,39,0,18,16,34,39,29,0,0,0,0,0,15,5,0,30,0,9,0,12,0,0,1,1,1,35,15,0,0,33,1,38,16
"13","Grant",51,27,36,34,0,3,34,3,40,25,49,29,63,0,0,0,5,0,35,11,3,49,0,24,0,17,4,0,4,4,4,38,20,3,0,40,4,40,33
"14","GraysHarbor",0,0,0,0,43,17,0,22,0,0,0,0,0,66,30,46,9,46,0,1,24,0,56,0,32,0,12,26,8,14,7,0,0,53,32,0,0,0,1
"15","Island",0,0,0,0,55,0,0,2,0,0,0,0,0,30,79,54,23,61,0,0,2,0,33,0,2,0,2,66,49,0,31,0,0,23,2,0,36,0,0
"16","Jefferson",0,0,0,0,66,8,0,10,0,0,0,0,0,46,54,71,9,69,0,0,12,0,50,0,15,0,10,50,31,8,13,0,0,39,15,0,22,0,0
