"","week","Cluster Number","Cluster Size","Location IDs included","Overlap with clusters","Coordinates / radius","Gini Cluster","Population","Number of cases","Expected cases","Annual cases / 100000","Observed / expected","Relative risk","Log likelihood ratio","P-value"
"1",2020-01-19,"1",1,"SpokaneCounty","No Overlap","(2.40375e+006,848913) / 0","No","522798","2","0.27","17.5","7.28","13.57","2.726994","0.413"
"2",2020-01-19,"2",7,"KittitasCounty, YakimaCounty, ChelanCounty, GrantCounty, KingCounty, DouglasCounty, PierceCounty","No Overlap","(1.59612e+006,653126) / 364660.94","No","3674932","0","1.93","0","0","0","2.635740","0.463"
"3",2020-01-26,"1",4,"SnohomishCounty, SkagitCounty, KingCounty, IslandCounty","5, 6","(1.34135e+006,991759) / 212626.68","No","3289211","1760","1174.03","2791.9","1.50","2.42","255.358795","< 0.00000000000000001"
"4",2020-01-26,"2",13,"PacificCounty, WahkiakumCounty, GraysHarborCounty, ThurstonCounty, CowlitzCounty, MasonCounty, LewisCounty, ClarkCounty, PierceCounty, JeffersonCounty, KitsapCounty, SkamaniaCounty, ClallamCounty","3","(815687,461225) / 570426.80","No","2436953","444","869.83","950.6","0.51","0.41","172.920851","< 0.00000000000000001"
"5",2020-01-26,"3",9,"WahkiakumCounty, PacificCounty, CowlitzCounty, ThurstonCounty, LewisCounty, ClarkCounty, GraysHarborCounty, MasonCounty, SkamaniaCounty","2","(899146,363108) / 396914.36","Yes","1150948","142","410.81","643.7","0.35","0.31","133.047570","< 0.00000000000000001"
"6",2020-01-26,"4",17,"PendOreilleCounty, StevensCounty, FerryCounty, SpokaneCounty, LincolnCounty, OkanoganCounty, WhitmanCounty, AdamsCounty, DouglasCounty, GrantCounty, GarfieldCounty, ColumbiaCounty, FranklinCounty, ChelanCounty, AsotinCounty, WallaWallaCounty, KittitasCounty","No Overlap","(2.4223e+006,1.18238e+006) / 981170.49","Yes","1164212","192","415.54","860.5","0.46","0.42","85.819334","< 0.00000000000000001"
"7",2020-01-26,"5",1,"KingCounty","1","(1.31014e+006,789600) / 0","Yes","2252782","1122","804.09","2598.7","1.40","1.67","83.892021","< 0.00000000000000001"
"8",2020-01-26,"6",4,"SkagitCounty, WhatcomCounty, SnohomishCounty, IslandCounty","1","(1.32441e+006,1.15149e+006) / 221418.70","Yes","1265676","697","451.76","2873.4","1.54","1.73","70.778470","< 0.00000000000000001"
"9",2020-01-26,"7",1,"YakimaCounty","No Overlap","(1.58048e+006,409697) / 0","Yes","250873","151","89.54","3140.6","1.69","1.73","18.172674","0.00000051"
"10",2020-02-02,"1",6,"SkagitCounty, WhatcomCounty, SnohomishCounty, IslandCounty, SanJuanCounty, KingCounty","3, 6, 7","(1.32441e+006,1.15149e+006) / 362166.92","No","3536040","1808","1274.20","2667.9","1.42","2.23","210.239329","< 0.00000000000000001"
"11",2020-02-02,"2",9,"WahkiakumCounty, PacificCounty, CowlitzCounty, ThurstonCounty, LewisCounty, ClarkCounty, GraysHarborCounty, MasonCounty, SkamaniaCounty","No Overlap","(899146,363108) / 396914.36","Yes","1150948","104","414.74","471.5","0.25","0.22","186.743636","< 0.00000000000000001"
"12",2020-02-02,"3",1,"KingCounty","1","(1.31014e+006,789600) / 0","Yes","2252782","1214","811.78","2811.8","1.50","1.89","131.463848","< 0.00000000000000001"
"13",2020-02-02,"4",17,"PendOreilleCounty, StevensCounty, FerryCounty, SpokaneCounty, LincolnCounty, OkanoganCounty, WhitmanCounty, AdamsCounty, DouglasCounty, GrantCounty, GarfieldCounty, ColumbiaCounty, FranklinCounty, ChelanCounty, AsotinCounty, WallaWallaCounty, KittitasCounty","No Overlap","(2.4223e+006,1.18238e+006) / 981170.49","Yes","1164212","206","419.52","923.2","0.49","0.45","76.524880","< 0.00000000000000001"
"14",2020-02-02,"5",1,"YakimaCounty","No Overlap","(1.58048e+006,409697) / 0","Yes","250873","187","90.40","3889.3","2.07","2.15","41.102317","< 0.00000000000000001"
"15",2020-02-02,"6",1,"SnohomishCounty","1","(1.34135e+006,991759) / 0","Yes","822083","426","296.23","2703.8","1.44","1.52","28.497199","0.0000000000076"
"16",2020-02-02,"7",7,"SanJuanCounty, IslandCounty, WhatcomCounty, ClallamCounty, SkagitCounty, JeffersonCounty, KitsapCounty","1","(1.04005e+006,1.18764e+006) / 346597.00","Yes","842200","222","303.48","1375.4","0.73","0.71","13.420713","0.000032"
"17",2020-02-09,"1",5,"KittitasCounty, YakimaCounty, ChelanCounty, GrantCounty, KingCounty","3, 4","(1.59612e+006,653126) / 316873.12","No","2726523","1216","770.53","2327.1","1.58","2.33","190.421616","< 0.00000000000000001"
"18",2020-02-09,"2",9,"GraysHarborCounty, MasonCounty, PacificCounty, JeffersonCounty, ThurstonCounty, WahkiakumCounty, KitsapCounty, ClallamCounty, LewisCounty","No Overlap","(812614,677769) / 413944.40","Yes","921056","30","260.29","169.9","0.12","0.10","178.957076","< 0.00000000000000001"
"19",2020-02-09,"3",1,"YakimaCounty","1","(1.58048e+006,409697) / 0","Yes","250873","221","70.90","4596.4","3.12","3.36","106.706191","< 0.00000000000000001"
"20",2020-02-09,"4",1,"KingCounty","1","(1.31014e+006,789600) / 0","Yes","2252782","938","636.65","2172.5","1.47","1.84","94.331059","< 0.00000000000000001"
"21",2020-02-09,"5",7,"PendOreilleCounty, StevensCounty, FerryCounty, SpokaneCounty, LincolnCounty, OkanoganCounty, WhitmanCounty","No Overlap","(2.4223e+006,1.18238e+006) / 597932.02","Yes","693158","57","195.89","429.1","0.29","0.27","73.340923","< 0.00000000000000001"
"22",2020-02-09,"6",2,"AdamsCounty, FranklinCounty","No Overlap","(2.12431e+006,607716) / 184314.37","Yes","115205","75","32.56","3396.8","2.30","2.35","20.571479","0.000000056"
"23",2020-02-09,"7",3,"WhatcomCounty, SkagitCounty, SanJuanCounty","No Overlap","(1.30964e+006,1.27888e+006) / 284613.08","Yes","376034","59","106.27","818.7","0.56","0.54","13.093094","0.000075"
"24",2020-02-09,"8",1,"SnohomishCounty","No Overlap","(1.34135e+006,991759) / 0","Yes","822083","293","232.32","1859.7","1.26","1.30","8.280784","0.0076"
"25",2020-02-16,"1",6,"KittitasCounty, YakimaCounty, ChelanCounty, GrantCounty, KingCounty, DouglasCounty","3, 9","(1.59612e+006,653126) / 330386.55","No","2769952","1099","699.86","2070.2","1.57","2.33","170.394937","< 0.00000000000000001"
"26",2020-02-16,"2",9,"GraysHarborCounty, MasonCounty, PacificCounty, JeffersonCounty, ThurstonCounty, WahkiakumCounty, KitsapCounty, ClallamCounty, LewisCounty","4, 6, 7","(812614,677769) / 413944.40","No","921056","30","232.72","169.9","0.13","0.12","152.948382","< 0.00000000000000001"
"27",2020-02-16,"3",1,"YakimaCounty","1","(1.58048e+006,409697) / 0","Yes","250873","240","63.39","4991.6","3.79","4.18","151.581136","< 0.00000000000000001"
"28",2020-02-16,"4",5,"MasonCounty, KitsapCounty, ThurstonCounty, GraysHarborCounty, JeffersonCounty","2","(975422,746852) / 183576.31","Yes","736059","24","185.97","170.1","0.13","0.12","120.156821","< 0.00000000000000001"
"29",2020-02-16,"5",8,"PendOreilleCounty, StevensCounty, FerryCounty, SpokaneCounty, LincolnCounty, OkanoganCounty, WhitmanCounty, AdamsCounty","No Overlap","(2.4223e+006,1.18238e+006) / 647333.59","Yes","713141","44","180.18","321.9","0.24","0.23","79.337849","< 0.00000000000000001"
"30",2020-02-16,"6",5,"SkamaniaCounty, ClarkCounty, CowlitzCounty, LewisCounty, KlickitatCounty","2","(1.28088e+006,254383) / 291402.71","Yes","714049","63","180.41","460.4","0.35","0.33","54.997679","< 0.00000000000000001"
"31",2020-02-16,"7",4,"SanJuanCounty, IslandCounty, WhatcomCounty, ClallamCounty","2, 10","(1.04005e+006,1.18764e+006) / 285023.20","Yes","409301","23","103.42","293.2","0.22","0.21","47.590595","< 0.00000000000000001"
"32",2020-02-16,"8",1,"FranklinCounty","No Overlap","(2.04323e+006,442195) / 0","Yes","95222","77","24.06","4219.3","3.20","3.29","37.377228","0.00000000000000089"
"33",2020-02-16,"9",1,"DouglasCounty","1","(1.83894e+006,877161) / 0","Yes","43429","42","10.97","5046.1","3.83","3.89","25.600030","0.00000000014"
"34",2020-02-16,"10",1,"WhatcomCounty","7","(1.30964e+006,1.27888e+006) / 0","No","229247","15","57.92","341.4","0.26","0.25","23.146321","0.0000000016"
"35",2020-02-16,"11",1,"SkagitCounty","No Overlap","(1.32441e+006,1.15149e+006) / 0","Yes","129205","61","32.65","2463.4","1.87","1.90","9.994470","0.00098"
"36",2020-02-23,"1",4,"BentonCounty, FranklinCounty, WallaWallaCounty, YakimaCounty","No Overlap","(1.89069e+006,331893) / 319817.65","Yes","611245","535","142.40","4566.9","3.76","4.95","367.102251","< 0.00000000000000001"
"37",2020-02-23,"2",13,"PacificCounty, WahkiakumCounty, GraysHarborCounty, ThurstonCounty, CowlitzCounty, MasonCounty, LewisCounty, ClarkCounty, PierceCounty, JeffersonCounty, KitsapCounty, SkamaniaCounty, ClallamCounty","3, 4","(815687,461225) / 570426.80","No","2436953","229","567.72","490.3","0.40","0.31","174.453345","< 0.00000000000000001"
"38",2020-02-23,"3",8,"ClallamCounty, JeffersonCounty, SanJuanCounty, IslandCounty, MasonCounty, GraysHarborCounty, KitsapCounty, ThurstonCounty","2","(801611,1.03148e+006) / 509912.75","Yes","916113","24","213.42","136.7","0.11","0.10","148.033779","< 0.00000000000000001"
"39",2020-02-23,"4",5,"SkamaniaCounty, ClarkCounty, CowlitzCounty, LewisCounty, KlickitatCounty","2","(1.28088e+006,254383) / 291402.71","Yes","714049","45","166.35","328.8","0.27","0.25","66.982895","< 0.00000000000000001"
"40",2020-02-23,"5",7,"PendOreilleCounty, StevensCounty, FerryCounty, SpokaneCounty, LincolnCounty, OkanoganCounty, WhitmanCounty","6","(2.4223e+006,1.18238e+006) / 597932.02","Yes","693158","48","161.48","361.3","0.30","0.28","59.150831","< 0.00000000000000001"
"41",2020-02-23,"6",11,"FerryCounty, StevensCounty, OkanoganCounty, PendOreilleCounty, LincolnCounty, DouglasCounty, SpokaneCounty, GrantCounty, AdamsCounty, ChelanCounty, WhitmanCounty","5, 11","(2.12176e+006,1.14961e+006) / 622108.81","No","931503","96","217.01","537.7","0.44","0.41","47.296229","< 0.00000000000000001"
"42",2020-02-23,"7",1,"WhatcomCounty","No Overlap","(1.30964e+006,1.27888e+006) / 0","Yes","229247","10","53.41","227.6","0.19","0.18","27.195934","0.00000000014"
"43",2020-02-23,"8",3,"SnohomishCounty, SkagitCounty, KingCounty","9, 10","(1.34135e+006,991759) / 204553.00","No","3204070","900","746.43","1465.6","1.21","1.42","26.906108","0.00000000018"
"44",2020-02-23,"9",1,"KingCounty","8","(1.31014e+006,789600) / 0","Yes","2252782","654","524.82","1514.8","1.25","1.39","21.656913","0.000000026"
"45",2020-02-23,"10",1,"SkagitCounty","8","(1.32441e+006,1.15149e+006) / 0","Yes","129205","53","30.10","2140.3","1.76","1.78","7.236514","0.029"
"46",2020-02-23,"11",3,"ChelanCounty, DouglasCounty, KittitasCounty","6","(1.61141e+006,924343) / 271648.09","No","168564","29","39.27","897.7","0.74","0.73","1.508403","0.995"
"47",2020-03-01,"1",1,"YakimaCounty","No Overlap","(1.58048e+006,409697) / 0","Yes","250873","367","58.81","7633.0","6.24","7.60","393.135107","< 0.00000000000000001"
"48",2020-03-01,"2",13,"PacificCounty, WahkiakumCounty, GraysHarborCounty, ThurstonCounty, CowlitzCounty, MasonCounty, LewisCounty, ClarkCounty, PierceCounty, JeffersonCounty, KitsapCounty, SkamaniaCounty, ClallamCounty","3, 5, 8","(815687,461225) / 570426.80","No","2436953","236","571.24","505.3","0.41","0.32","169.164952","< 0.00000000000000001"
"49",2020-03-01,"3",5,"MasonCounty, KitsapCounty, ThurstonCounty, GraysHarborCounty, JeffersonCounty","2","(975422,746852) / 183576.31","Yes","736059","13","172.54","92.2","0.075","0.069","133.569504","< 0.00000000000000001"
"50",2020-03-01,"4",8,"PendOreilleCounty, StevensCounty, FerryCounty, SpokaneCounty, LincolnCounty, OkanoganCounty, WhitmanCounty, AdamsCounty","No Overlap","(2.4223e+006,1.18238e+006) / 647333.59","Yes","713141","27","167.17","197.5","0.16","0.15","96.845330","< 0.00000000000000001"
"51",2020-03-01,"5",5,"SkamaniaCounty, ClarkCounty, CowlitzCounty, LewisCounty, KlickitatCounty","2","(1.28088e+006,254383) / 291402.71","Yes","714049","47","167.38","343.4","0.28","0.26","65.056122","< 0.00000000000000001"
"52",2020-03-01,"6",3,"SnohomishCounty, SkagitCounty, KingCounty","9","(1.34135e+006,991759) / 204553.00","No","3204070","898","751.06","1462.4","1.20","1.39","24.492058","0.0000000012"
"53",2020-03-01,"7",5,"WallaWallaCounty, ColumbiaCounty, FranklinCounty, GarfieldCounty, BentonCounty","No Overlap","(2.15193e+006,333394) / 261244.57","Yes","366582","156","85.93","2220.4","1.82","1.89","24.421395","0.0000000013"
"54",2020-03-01,"8",4,"SanJuanCounty, IslandCounty, WhatcomCounty, ClallamCounty","2","(1.04005e+006,1.18764e+006) / 285023.20","Yes","409301","38","95.94","484.4","0.40","0.38","23.731857","0.0000000025"
"55",2020-03-01,"9",1,"SkagitCounty","6","(1.32441e+006,1.15149e+006) / 0","Yes","129205","55","30.29","2221.1","1.82","1.84","8.275798","0.0075"
"56",2020-03-01,"10",1,"ChelanCounty","No Overlap","(1.61141e+006,924343) / 0","No","77200","31","18.10","2095.2","1.71","1.73","3.830146","0.424"
"57",2020-03-08,"1",1,"YakimaCounty","No Overlap","(1.58048e+006,409697) / 0","Yes","250873","499","54.92","10378.4","9.09","12.54","724.795189","< 0.00000000000000001"
"58",2020-03-08,"2",13,"PacificCounty, WahkiakumCounty, GraysHarborCounty, ThurstonCounty, CowlitzCounty, MasonCounty, LewisCounty, ClarkCounty, PierceCounty, JeffersonCounty, KitsapCounty, SkamaniaCounty, ClallamCounty","3, 5, 7","(815687,461225) / 570426.80","No","2436953","219","533.48","468.9","0.41","0.32","159.564944","< 0.00000000000000001"
"59",2020-03-08,"3",5,"MasonCounty, KitsapCounty, ThurstonCounty, GraysHarborCounty, JeffersonCounty","2","(975422,746852) / 183576.31","Yes","736059","16","161.13","113.4","0.099","0.091","114.958106","< 0.00000000000000001"
"60",2020-03-08,"4",10,"SpokaneCounty, LincolnCounty, WhitmanCounty, StevensCounty, PendOreilleCounty, AdamsCounty, FerryCounty, GarfieldCounty, ColumbiaCounty, AsotinCounty","6","(2.40375e+006,848913) / 523349.12","Yes","699690","16","153.17","119.3","0.10","0.096","107.062885","< 0.00000000000000001"
"61",2020-03-08,"5",4,"ClarkCounty, CowlitzCounty, SkamaniaCounty, LewisCounty","2","(1.13459e+006,168921) / 292552.88","Yes","691624","32","151.41","241.4","0.21","0.20","74.255115","< 0.00000000000000001"
"62",2020-03-08,"6",9,"FerryCounty, StevensCounty, OkanoganCounty, PendOreilleCounty, LincolnCounty, DouglasCounty, SpokaneCounty, GrantCounty, AdamsCounty","4, 8, 9","(2.12176e+006,1.14961e+006) / 541897.70","No","804199","57","176.05","369.8","0.32","0.30","59.401219","< 0.00000000000000001"
"63",2020-03-08,"7",4,"SanJuanCounty, IslandCounty, WhatcomCounty, ClallamCounty","2, 10","(1.04005e+006,1.18764e+006) / 285023.20","Yes","409301","28","89.60","356.9","0.31","0.30","30.220196","0.0000000000031"
"64",2020-03-08,"8",3,"ChelanCounty, DouglasCounty, KittitasCounty","6","(1.61141e+006,924343) / 271648.09","Yes","168564","84","36.90","2600.1","2.28","2.34","22.684805","0.0000000049"
"65",2020-03-08,"9",1,"GrantCounty","6","(1.90055e+006,684059) / 0","Yes","97733","4","21.40","213.6","0.19","0.19","10.779194","0.00057"
"66",2020-03-08,"10",5,"SkagitCounty, WhatcomCounty, SnohomishCounty, IslandCounty, SanJuanCounty","7, 12","(1.32441e+006,1.15149e+006) / 286647.31","No","1283258","215","280.92","874.2","0.77","0.73","9.965965","0.0013"
"67",2020-03-08,"11",1,"FranklinCounty","No Overlap","(2.04323e+006,442195) / 0","Yes","95222","41","20.85","2246.6","1.97","1.99","7.703330","0.012"
"68",2020-03-08,"12",1,"SkagitCounty","10","(1.32441e+006,1.15149e+006) / 0","No","129205","43","28.28","1736.5","1.52","1.53","3.362786","0.539"
"69",2020-03-15,"1",1,"YakimaCounty","No Overlap","(1.58048e+006,409697) / 0","Yes","250873","596","52.32","12395.8","11.39","17.64","1016.511427","< 0.00000000000000001"
"70",2020-03-15,"2",13,"PacificCounty, WahkiakumCounty, GraysHarborCounty, ThurstonCounty, CowlitzCounty, MasonCounty, LewisCounty, ClarkCounty, PierceCounty, JeffersonCounty, KitsapCounty, SkamaniaCounty, ClallamCounty","3, 5, 8","(815687,461225) / 570426.80","No","2436953","150","508.20","321.2","0.30","0.22","228.917576","< 0.00000000000000001"
"71",2020-03-15,"3",8,"GraysHarborCounty, MasonCounty, PacificCounty, JeffersonCounty, ThurstonCounty, WahkiakumCounty, KitsapCounty, ClallamCounty","2","(812614,677769) / 353880.74","Yes","840349","13","175.25","80.7","0.074","0.067","137.408128","< 0.00000000000000001"
"72",2020-03-15,"4",11,"SpokaneCounty, LincolnCounty, WhitmanCounty, StevensCounty, PendOreilleCounty, AdamsCounty, FerryCounty, GarfieldCounty, ColumbiaCounty, AsotinCounty, GrantCounty","6","(2.40375e+006,848913) / 529521.58","Yes","797423","34","166.29","222.5","0.20","0.19","84.294798","< 0.00000000000000001"
"73",2020-03-15,"5",5,"SkamaniaCounty, ClarkCounty, CowlitzCounty, LewisCounty, KlickitatCounty","2","(1.28088e+006,254383) / 291402.71","Yes","714049","27","148.91","197.3","0.18","0.17","80.828287","< 0.00000000000000001"
"74",2020-03-15,"6",9,"FerryCounty, StevensCounty, OkanoganCounty, PendOreilleCounty, LincolnCounty, DouglasCounty, SpokaneCounty, GrantCounty, AdamsCounty","4, 9","(2.12176e+006,1.14961e+006) / 541897.70","No","804199","56","167.71","363.3","0.33","0.31","54.564258","< 0.00000000000000001"
"75",2020-03-15,"7",5,"SkagitCounty, WhatcomCounty, SnohomishCounty, IslandCounty, SanJuanCounty","10, 11","(1.32441e+006,1.15149e+006) / 286647.31","No","1283258","161","267.61","654.6","0.60","0.56","28.993711","0.000000000017"
"76",2020-03-15,"8",1,"PierceCounty","2","(1.23248e+006,625805) / 0","Yes","904980","112","188.72","645.7","0.59","0.56","20.349601","0.000000068"
"77",2020-03-15,"9",3,"ChelanCounty, DouglasCounty, KittitasCounty","6","(1.61141e+006,924343) / 271648.09","Yes","168564","67","35.15","2073.9","1.91","1.95","11.696481","0.00028"
"78",2020-03-15,"10",1,"SnohomishCounty","7","(1.34135e+006,991759) / 0","Yes","822083","117","171.44","742.6","0.68","0.66","10.770618","0.00068"
"79",2020-03-15,"11",1,"WhatcomCounty","7","(1.30964e+006,1.27888e+006) / 0","Yes","229247","20","47.81","455.2","0.42","0.41","10.627649","0.00078"
"80",2020-03-22,"1",1,"YakimaCounty","No Overlap","(1.58048e+006,409697) / 0","Yes","250873","668","56.17","13893.3","11.89","18.91","1172.997930","< 0.00000000000000001"
"81",2020-03-22,"2",12,"GraysHarborCounty, MasonCounty, PacificCounty, JeffersonCounty, ThurstonCounty, WahkiakumCounty, KitsapCounty, ClallamCounty, LewisCounty, PierceCounty, CowlitzCounty, IslandCounty","3, 4","(812614,677769) / 483149.74","No","2021770","89","452.68","229.7","0.20","0.15","267.247396","< 0.00000000000000001"
"82",2020-03-22,"3",6,"JeffersonCounty, ClallamCounty, MasonCounty, KitsapCounty, GraysHarborCounty, IslandCounty","2","(884182,906149) / 282694.95","Yes","607995","10","136.13","85.8","0.073","0.068","104.961354","< 0.00000000000000001"
"83",2020-03-22,"4",5,"WahkiakumCounty, PacificCounty, CowlitzCounty, ThurstonCounty, LewisCounty","2","(899146,363108) / 282563.86","Yes","508795","8","113.92","82.0","0.070","0.066","88.122336","< 0.00000000000000001"
"84",2020-03-22,"5",8,"GrantCounty, DouglasCounty, AdamsCounty, FranklinCounty, LincolnCounty, KittitasCounty, BentonCounty, ChelanCounty","6","(1.90055e+006,684059) / 375947.25","Yes","596831","290","133.63","2535.3","2.17","2.41","76.372739","< 0.00000000000000001"
"85",2020-03-22,"6",9,"ChelanCounty, DouglasCounty, KittitasCounty, SnohomishCounty, OkanoganCounty, KingCounty, SkagitCounty, GrantCounty, WhatcomCounty","5, 7","(1.61141e+006,924343) / 465581.51","No","3741857","592","837.81","825.5","0.71","0.55","72.166036","< 0.00000000000000001"
"86",2020-03-22,"7",3,"WhatcomCounty, SkagitCounty, SanJuanCounty","6","(1.30964e+006,1.27888e+006) / 284613.08","Yes","376034","19","84.20","263.6","0.23","0.22","38.203947","0.00000000000000056"
"87",2020-03-22,"8",5,"AsotinCounty, GarfieldCounty, ColumbiaCounty, WhitmanCounty, WallaWallaCounty","No Overlap","(2.47512e+006,330453) / 323200.20","Yes","139656","5","31.27","186.8","0.16","0.16","17.308509","0.00000069"
"88",2020-03-22,"9",3,"PendOreilleCounty, StevensCounty, FerryCounty","No Overlap","(2.4223e+006,1.18238e+006) / 302323.40","Yes","67074","2","15.02","155.6","0.13","0.13","9.035887","0.0028"
"89",2020-03-22,"10",2,"SkamaniaCounty, ClarkCounty","No Overlap","(1.28088e+006,254383) / 169418.69","Yes","500324","76","112.02","792.6","0.68","0.66","6.941902","0.020"
"90",2020-03-29,"1",1,"YakimaCounty","No Overlap","(1.58048e+006,409697) / 0","Yes","250873","720","59.04","14974.8","12.20","19.72","1285.887809","< 0.00000000000000001"
"91",2020-03-29,"2",12,"GraysHarborCounty, MasonCounty, PacificCounty, JeffersonCounty, ThurstonCounty, WahkiakumCounty, KitsapCounty, ClallamCounty, LewisCounty, PierceCounty, CowlitzCounty, IslandCounty","5, 7, 8","(812614,677769) / 483149.74","No","2021770","122","475.78","314.9","0.26","0.20","231.525319","< 0.00000000000000001"
