Accession,Release_Date,Length,Geo_Location,USA,Isolation_Source,Collection_Date
MT982401,2020-11-16T00:00:00Z,29858,"USA: Washington, King county",WA,oronasopharynx,2020-04-20
MT982402,2020-11-16T00:00:00Z,29867,"USA: Washington, King county",WA,oronasopharynx,2020-05-11
MT982403,2020-11-16T00:00:00Z,29882,"USA: Washington, King county",WA,oronasopharynx,2020-04-20
MT982404,2020-11-16T00:00:00Z,29867,"USA: Washington, King county",WA,oronasopharynx,2020-05-11
MT982405,2020-11-16T00:00:00Z,29882,"USA: Washington, King county",WA,oronasopharynx,2020-05-26
MT982406,2020-11-16T00:00:00Z,29882,"USA: Washington, King county",WA,oronasopharynx,2020-06-15
MW190448,2020-10-30T00:00:00Z,29782,USA: WA,WA,,2020-03-18
MW190934,2020-10-30T00:00:00Z,29782,USA: WA,WA,,2020-03-21
MW191057,2020-10-30T00:00:00Z,29782,USA: WA,WA,,2020-03-15
MW191058,2020-10-30T00:00:00Z,29782,USA: WA,WA,,2020-03-14
MW191059,2020-10-30T00:00:00Z,29782,USA: WA,WA,,2020-03-14
MW191060,2020-10-30T00:00:00Z,29770,USA: WA,WA,,2020-03-14
MW191167,2020-10-30T00:00:00Z,29782,USA: WA,WA,,2020-03-16
MW191168,2020-10-30T00:00:00Z,29782,USA: WA,WA,,2020-03-16
MW191169,2020-10-30T00:00:00Z,29782,USA: WA,WA,,2020-03-16
MW191170,2020-10-30T00:00:00Z,29782,USA: WA,WA,,2020-03-16
MW191171,2020-10-30T00:00:00Z,29782,USA: WA,WA,,2020-03-16
MW191172,2020-10-30T00:00:00Z,29782,USA: WA,WA,,2020-03-16
MW191303,2020-10-30T00:00:00Z,29782,USA: WA,WA,,2020-03-16
MW191304,2020-10-30T00:00:00Z,29782,USA: WA,WA,,2020-03-16
MW191305,2020-10-30T00:00:00Z,29782,USA: WA,WA,,2020-03-16
MW191306,2020-10-30T00:00:00Z,29782,USA: WA,WA,,2020-03-16
MW191307,2020-10-30T00:00:00Z,29782,USA: WA,WA,,2020-03-16
MW173401,2020-10-27T00:00:00Z,29870,"USA: Washington,King County",WA,,2020-09-11
MW173402,2020-10-27T00:00:00Z,29859,"USA: Washington,King County",WA,,2020-09-16
MW173403,2020-10-27T00:00:00Z,29829,"USA: Washington,King County",WA,,2020-09-17
MW173404,2020-10-27T00:00:00Z,29845,"USA: Washington,King County",WA,,2020-09-17
MW173405,2020-10-27T00:00:00Z,29129,"USA: Washington,King County",WA,,2020-09-18
MW173406,2020-10-27T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-09-18
MW173407,2020-10-27T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-09-19
MW173408,2020-10-27T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-09-19
MW173409,2020-10-27T00:00:00Z,29867,"USA: Washington,King County",WA,,2020-09-20
MW173410,2020-10-27T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-09-20
MW173411,2020-10-27T00:00:00Z,29851,"USA: Washington,King County",WA,,2020-09-21
MW173412,2020-10-27T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-09-21
MW173413,2020-10-27T00:00:00Z,29835,"USA: Washington,King County",WA,,2020-09-22
MW173414,2020-10-27T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-09-22
MW173415,2020-10-27T00:00:00Z,29846,"USA: Washington,King County",WA,,2020-09-22
MW173416,2020-10-27T00:00:00Z,29818,"USA: Washington,King County",WA,,2020-09-22
MW173417,2020-10-27T00:00:00Z,29858,"USA: Washington,King County",WA,,2020-09-22
MW173418,2020-10-27T00:00:00Z,29837,"USA: Washington,King County",WA,,2020-09-22
MW173419,2020-10-27T00:00:00Z,29839,"USA: Washington,King County",WA,,2020-09-24
MW173420,2020-10-27T00:00:00Z,29855,"USA: Washington,King County",WA,,2020-09-24
MW173421,2020-10-27T00:00:00Z,29856,"USA: Washington,King County",WA,,2020-09-26
MW173422,2020-10-27T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-09-27
MW173423,2020-10-27T00:00:00Z,29862,"USA: Washington,King County",WA,,2020-09-24
MW173424,2020-10-27T00:00:00Z,29855,"USA: Washington,King County",WA,,2020-09-28
MW173425,2020-10-27T00:00:00Z,29851,"USA: Washington,King County",WA,,2020-10-01
MW173426,2020-10-27T00:00:00Z,29851,"USA: Washington,King County",WA,,2020-10-01
MW173427,2020-10-27T00:00:00Z,29854,"USA: Washington,King County",WA,,2020-10-01
