Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/USA/WA-S3/2020	EPI_ISL_413560	2/28/2020	North America / USA / Washington	Human	Original	Mid-Turbinate nasal swab		Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA11-UW7/2020	EPI_ISL_413562	3/2/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	Geneious Prime 2020.0.5			A.1	S
hCoV-19/USA/WA12-UW8/2020	EPI_ISL_413563	3/3/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	Geneious Prime 2020.0.5			A.1	S
hCoV-19/USA/WA13-UW9/2020	EPI_ISL_413601	3/2/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	Geneious Prime 2020.0.5			A.1	S
hCoV-19/USA/WA-UW97/2020	EPI_ISL_416635	3/12/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW98/2020	EPI_ISL_416636	3/12/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW99/2020	EPI_ISL_416637	3/12/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW100/2020	EPI_ISL_416638	3/12/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW101/2020	EPI_ISL_416639	3/10/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW103/2020	EPI_ISL_416641	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW104/2020	EPI_ISL_416642	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1	GH
hCoV-19/USA/WA-UW105/2020	EPI_ISL_416643	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW106/2020	EPI_ISL_416644	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW108/2020	EPI_ISL_416646	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.2	V
